
[30/04/2020] [12:18:27.769] API is now started on port 65535
[30/04/2020] [12:18:27.778] Starting
[30/04/2020] [12:18:27.778] Loading commands
[30/04/2020] [12:18:27.769] Starting API
[30/04/2020] [12:18:27.904] Loading advancedinfo.js
[30/04/2020] [12:18:27.907] Loading embed.js
[30/04/2020] [12:18:27.908] Loading gsearch.js
[30/04/2020] [12:18:27.908] Loading hastebin.js
[30/04/2020] [12:18:27.919] Loading lmgtfy.js
[30/04/2020] [12:18:27.921] Loading ping.js
[30/04/2020] [12:18:27.923] Loading pp.js
[30/04/2020] [12:18:27.923] Loading roleinfo.js
[30/04/2020] [12:18:27.924] Loading serverinfo.js
[30/04/2020] [12:18:27.925] Loading userinfo.js
[30/04/2020] [12:18:27.931] Loading boost.js
[30/04/2020] [12:18:27.933] Loading incident.js
[30/04/2020] [12:18:27.933] Loading ban.js
[30/04/2020] [12:18:27.934] Loading kick.js
[30/04/2020] [12:18:27.935] Loading purge.js
[30/04/2020] [12:18:27.936] Loading fun.js
[30/04/2020] [12:18:27.937] Loading help.js
[30/04/2020] [12:18:27.938] Loading mod.js
[30/04/2020] [12:18:27.939] Loading radio.js
[30/04/2020] [12:18:27.940] Loading util.js
[30/04/2020] [12:18:27.941] Loading 8ball.js
[30/04/2020] [12:18:27.942] Loading charo.js
[30/04/2020] [12:18:27.943] Loading claque.js
[30/04/2020] [12:18:27.944] Loading gif.js
[30/04/2020] [12:18:27.946] Loading hug.js
[30/04/2020] [12:18:27.947] Loading iloveyou.js
[30/04/2020] [12:18:27.948] Loading kiss.js
[30/04/2020] [12:18:27.949] Loading ko.js
[30/04/2020] [12:18:27.950] Loading octogone.js
[30/04/2020] [12:18:27.951] Loading punch.js
[30/04/2020] [12:18:27.951] Loading tacos.js
[30/04/2020] [12:18:27.952] Loading tire.js
[30/04/2020] [12:18:27.953] Loading veski.js
[30/04/2020] [12:19:29.824] API is now started on port 65535
[30/04/2020] [12:19:29.833] Starting
[30/04/2020] [12:19:29.833] Loading commands
[30/04/2020] [12:19:29.824] Starting API
[30/04/2020] [12:19:29.970] Loading advancedinfo.js
[30/04/2020] [12:19:29.975] Loading embed.js
[30/04/2020] [12:19:29.975] Loading gsearch.js
[30/04/2020] [12:19:29.976] Loading hastebin.js
[30/04/2020] [12:19:29.983] Loading lmgtfy.js
[30/04/2020] [12:19:29.984] Loading ping.js
[30/04/2020] [12:19:29.984] Loading pp.js
[30/04/2020] [12:19:29.985] Loading roleinfo.js
[30/04/2020] [12:19:29.985] Loading serverinfo.js
[30/04/2020] [12:19:29.986] Loading userinfo.js
[30/04/2020] [12:19:29.987] Loading boost.js
[30/04/2020] [12:19:29.988] Loading incident.js
[30/04/2020] [12:19:29.988] Loading ban.js
[30/04/2020] [12:19:29.989] Loading kick.js
[30/04/2020] [12:19:29.990] Loading purge.js
[30/04/2020] [12:19:29.991] Loading fun.js
[30/04/2020] [12:19:29.992] Loading help.js
[30/04/2020] [12:19:29.993] Loading mod.js
[30/04/2020] [12:19:29.993] Loading radio.js
[30/04/2020] [12:19:29.996] Loading util.js
[30/04/2020] [12:19:30.1] Loading 8ball.js
[30/04/2020] [12:19:30.2] Loading charo.js
[30/04/2020] [12:19:30.3] Loading claque.js
[30/04/2020] [12:19:30.4] Loading gif.js
[30/04/2020] [12:19:30.9] Loading hug.js
[30/04/2020] [12:19:30.10] Loading iloveyou.js
[30/04/2020] [12:19:30.10] Loading kiss.js
[30/04/2020] [12:19:30.11] Loading ko.js
[30/04/2020] [12:19:30.11] Loading octogone.js
[30/04/2020] [12:19:30.12] Loading punch.js
[30/04/2020] [12:19:30.12] Loading tacos.js
[30/04/2020] [12:19:30.13] Loading tire.js
[30/04/2020] [12:19:30.13] Loading veski.js
